CLIENT READY FUNNEL TRACKING,,,,,,,,,,,,,,,,,,,,,
Based on Cat Howell method + funnel-specific breakdowns,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DAILY TRACKING,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Landing Page Views,New Customers,Front-End Revenue,Bump 1 ($17),Bump 2 ($37),Bump 3 ($67),Total Bump Revenue,OTO1 Self-Paced ($97),OTO1 Sprint ($297),OTO2 DFY ($397),Total OTO Revenue,Total Ad Revenue,Ad Spend,Net Profit,AOV,ROAS,CPA,Front-End CVR %,Bump Take Rate %,Scaled?,Activities/Changes
,,,,,,,,,,,,,,,,,,,,,
Mon Feb 3,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Tue Feb 4,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Wed Feb 5,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Thu Feb 6,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Fri Feb 7,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Sat Feb 8,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Sun Feb 9,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Mon Feb 10,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Tue Feb 11,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Wed Feb 12,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Thu Feb 13,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Fri Feb 14,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Sat Feb 15,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Sun Feb 16,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Mon Feb 17,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Tue Feb 18,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Wed Feb 19,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Thu Feb 20,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Fri Feb 21,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Sat Feb 22,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Sun Feb 23,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Mon Feb 24,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Tue Feb 25,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Wed Feb 26,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Thu Feb 27,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
Fri Feb 28,,,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,
MONTHLY SUMMARY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Landing Page Views,New Customers,Front-End Revenue,Bump 1 Total,Bump 2 Total,Bump 3 Total,Total Bump Revenue,OTO1 SP Total,OTO1 Sprint Total,OTO2 DFY Total,Total OTO Revenue,Total Ad Revenue,Total Ad Spend,Net Profit,Avg AOV,Avg ROAS,Avg CPA,Avg CVR %,Avg Bump Rate %,,
TOTALS,0,0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BUMP & OTO ANALYSIS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Offer,Price,Units Sold,Revenue,Take Rate %,Revenue per Customer,Notes,,,,,,,,,,,,,,
Front-End (Client Ready),$27,0,$0,100%,#DIV/0!,Base offer,,,,,,,,,,,,,,
Bump 1 (DM Scripts),$17,0,$0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bump 2 (Templates),$37,0,$0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bump 3 (Traffic Kit),$67,0,$0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
OTO1 Self-Paced,$97,0,$0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
OTO1 Sprint,$297,0,$0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
OTO2 DFY,$397,0,$0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
